wikidata_id,name,latitude,longitude,postal_code
Q320950,Trutnov,50.561045737,15.912798547,542 32
Q321778,Hodonín,48.848950584,17.132439069,695 01
Q327764,Prachatice,49.013013368,13.997533003,383 01
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 01
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 03
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 04
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 06
Q339112,Černošice,49.960158615,14.319858494,252 26
Q339112,Černošice,49.960158615,14.319858494,252 28
Q341056,Česká Třebová,49.901912708,16.447334999,560 02
Q341223,Český Brod,50.07426748,14.86088147,282 01
Q341777,Čáslav,49.911045008,15.389777063,286 01
Q368796,Jilemnice,50.608944916,15.506628032,514 01
Q368929,Jindřichův Hradec,49.144110393,15.003024549,377 01
Q371321,Šlapanice,49.168653859,16.727325855,627 00
Q371321,Šlapanice,49.168653859,16.727325855,664 51
Q373804,Telč,49.184229941,15.452771068,588 56
Q375651,Valašské Meziříčí,49.471799519,17.971153558,757 01
Q375651,Valašské Meziříčí,49.471799519,17.971153558,756 42
Q383850,Litovel,49.701225181,17.076190647,783 21
Q383850,Litovel,49.701225181,17.076190647,783 24
Q383850,Litovel,49.701225181,17.076190647,784 01
Q384403,Litoměřice,50.533559476,14.131899491,412 01
Q384544,Karlovy Vary,50.230555555,12.8725,360 01–364 64
Q1008686,Ivančice,49.101477851,16.377529198,664 91
Q1008696,Rožnov pod Radhoštěm,49.45851736,18.143045316,756 61
Q1008737,Semily,50.601957959,15.335619799,512 06
Q1008737,Semily,50.601957959,15.335619799,513 01
Q1008750,Stříbro,49.753048391,13.004146255,349 01
Q1008983,Vodňany,49.147976092,14.175148006,389 01
Q1009095,Otrokovice,49.209921755,17.530780558,765 02
Q1010131,Frýdlant nad Ostravicí,49.592787662,18.359696643,739 11
Q1011066,Stod,49.639196063,13.164783971,333 01
Q1013843,Dačice,49.081598679,15.437278856,380 01
Q1013850,Rýmařov,49.931838496,17.271821662,793 42
Q1013850,Rýmařov,49.931838496,17.271821662,793 51
Q1013850,Rýmařov,49.931838496,17.271821662,795 01
Q1013909,Slaný,50.23054117,14.087014267,273 79
Q1013909,Slaný,50.23054117,14.087014267,274 01
Q1013914,Polička,49.71467939,16.265478874,572 01
Q1013919,Vimperk,49.052527919,13.774271666,385 01
Q1013919,Vimperk,49.052527919,13.774271666,384 73
Q1013919,Vimperk,49.052527919,13.774271666,385 17
Q1015011,Milevsko,49.45097206,14.360040178,399 01
Q1015409,Bílovec,49.75638039,18.015853348,742 92
Q1015409,Bílovec,49.75638039,18.015853348,743 01
Q1017227,Nýřany,49.711560287,13.21190102,330 23
Q1017240,Kralovice,49.982014872,13.487539689,331 41
Q1017247,Podbořany,50.229466858,13.411998129,438 01
Q1017247,Podbořany,50.229466858,13.411998129,441 01
Q1017251,Nová Paka,50.494542634,15.515123613,507 91
Q1017251,Nová Paka,50.494542634,15.515123613,509 01
Q1017769,Mnichovo Hradiště,50.527266026,14.971430407,294 11
Q1017769,Mnichovo Hradiště,50.527266026,14.971430407,294 13
Q1017769,Mnichovo Hradiště,50.527266026,14.971430407,295 01
Q1018329,Odry,49.662546647,17.830879019,742 35
Q1018329,Odry,49.662546647,17.830879019,742 36
Q1018341,Přelouč,50.039897141,15.560373291,535 01
Q1018700,Bystřice nad Pernštejnem,49.522980589,16.261501207,593 01
Q1018700,Bystřice nad Pernštejnem,49.522980589,16.261501207,593 15
Q1018857,Nový Bydžov,50.241552543,15.490898003,503 51
Q1018857,Nový Bydžov,50.241552543,15.490898003,504 01
Q1018859,Lysá nad Labem,50.201496776,14.832888718,289 22
Q1019315,Trhové Sviny,48.84238919,14.639241403,374 01
